id,score,polarity,beads,length_m,straightness,spacing_cv,beadedness,roughness,demoted,mean_relief_m,centre_lat,centre_lon,status,distance_m,site_id,site_name,site_kind,site_subkind,site_dating,site_layer,site_url
1,0.679,raised,6,67.9,0.973,0.195,0.654,0.314,False,0.66,60.683143,27.667514,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
2,0.673,raised,7,90.1,0.932,0.214,0.829,0.212,False,0.5,60.682614,27.66795,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
3,0.659,raised,7,64.3,0.943,0.126,0.565,0.221,False,0.54,60.681815,27.666858,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
4,0.658,cut,6,75.1,0.96,0.268,0.71,0.447,False,0.53,60.683633,27.672591,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
5,0.648,cut,6,70.8,0.912,0.249,0.655,0.245,False,0.58,60.678126,27.662891,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
6,0.627,raised,9,98.3,0.971,0.305,0.568,0.281,False,0.58,60.683171,27.666881,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
7,0.597,raised,6,60.3,0.963,0.13,1.0,0.102,False,0.39,60.678133,27.661714,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
8,0.583,cut,8,71.6,0.869,0.434,0.76,0.252,False,0.57,60.682768,27.667921,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
9,0.555,raised,7,81.3,0.967,0.176,0.719,0.121,False,0.43,60.677702,27.660224,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
10,0.555,cut,12,147.0,0.971,0.292,0.719,0.133,False,0.5,60.67811,27.658819,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
11,0.543,cut,7,72.2,0.975,0.259,0.679,0.157,False,0.52,60.681314,27.666157,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
12,0.535,raised,8,70.8,0.939,0.44,0.538,0.274,False,0.44,60.682187,27.667736,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
13,0.526,cut,7,69.8,0.962,0.462,0.556,0.267,False,0.5,60.683922,27.667741,known_military,2.4,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
14,0.494,cut,10,118.2,0.936,0.338,0.804,0.102,False,0.58,60.677863,27.660544,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
15,0.407,cut,6,62.9,0.942,0.469,0.833,0.111,False,0.46,60.67916,27.664048,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
16,0.172,cut,11,147.4,0.998,0.257,0.583,0.088,True,0.52,60.680766,27.66933,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
17,0.166,cut,8,78.0,0.996,0.263,0.767,0.085,True,0.4,60.677475,27.671239,undocumented,136.6,,,,,,,
18,0.164,cut,7,65.3,0.993,0.336,0.538,0.153,True,0.44,60.680107,27.673022,known_military,0.0,1000019296,Salpalinja-museo,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019296
19,0.161,cut,8,97.6,0.988,0.324,0.579,0.117,True,0.52,60.679046,27.662509,known_military,0.0,1000019295,Laajanpohja,puolustusvarustukset,taistelukaivannot,moderni,muu_kulttuuriperintokohde_alue,https://www.kyppi.fi/to.aspx?id=112.1000019295
20,0.151,cut,8,87.5,0.997,0.303,0.545,0.097,True,0.58,60.682165,27.658367,undocumented,182.3,,,,,,,
